Whitney Miller,22,"Poplarville, Mississippi",College Student,Winner Episode 13
David Miller,29,"Boston, Massachusetts",Software Engineer,Runner-Up Episode 13
Lee Knaz,27,"Venice, California",Bartender,Eliminated Episode 12
Sheetal Bhagat,37,"Chicago, Illinois",Teacher,Eliminated Episode 12
Sharone Hakman,28,"Los Angeles, California",Financial Advisor,Eliminated Episode 11
Mike Kim,34,"Redondo Beach, California",Server,Eliminated Episode 10
Jake Gandolfo,38,"Santa Cruz, California",Construction Worker,Eliminated Episode 9
Tracy Nailor,42,"Atlanta, Georgia",Doctor,Eliminated Episode 9
"Kim Dung ""Slim"" Huynh",22,"Harvey, Louisiana",College Student,Eliminated Episode 8
"Anthony ""Tony"" Carbone",31,"Boston, Massachusetts",Server,Eliminated Episode 7
Faruq Jenkins,30,"Glendale, California",Bartender,Eliminated Episode 6
Jenna Hamiter,23,"Euless, Texas",Homemaker,Eliminated Episode 5
Avis White,47,"Vacherie, Louisiana",Elderly Caregiver,Eliminated Episode 4
Sheena Zadeh,26,"Anaheim, California",Marketing Executive,Eliminated Episode 4
